Vardas               Pavarde              Galutinis (vid.)     Galutinis (med.)    
---------------------------------------------------------------------------------
Vardas10             Pavarde10            3.40                 5.00                
Vardas10000          Pavarde10000         3.05                 4.40                
Vardas10004          Pavarde10004         4.45                 5.20                
Vardas10009          Pavarde10009         3.70                 5.30                
Vardas10012          Pavarde10012         4.25                 4.90                
Vardas10014          Pavarde10014         4.40                 5.20                
Vardas10017          Pavarde10017         2.75                 3.50                
Vardas10018          Pavarde10018         3.45                 3.30                
Vardas10020          Pavarde10020         2.60                 4.00                
Vardas10021          Pavarde10021         4.45                 5.20                
Vardas10022          Pavarde10022         4.55                 5.50                
Vardas10027          Pavarde10027         2.20                 3.10                
Vardas1003           Pavarde1003          1.95                 2.50                
Vardas10032          Pavarde10032         2.50                 4.00                
Vardas10034          Pavarde10034         3.25                 4.70                
Vardas10036          Pavarde10036         2.80                 4.30                
Vardas10039          Pavarde10039         3.45                 4.50                
Vardas1004           Pavarde1004          2.00                 2.80                
Vardas10042          Pavarde10042         5.00                 5.90                
Vardas10043          Pavarde10043         2.45                 3.40                
Vardas10046          Pavarde10046         1.55                 1.90                
Vardas10047          Pavarde10047         3.35                 4.70                
Vardas10048          Pavarde10048         3.45                 3.90                
Vardas1005           Pavarde1005          2.80                 4.30                
Vardas10052          Pavarde10052         3.15                 3.30                
Vardas10053          Pavarde10053         3.95                 5.10                
Vardas10054          Pavarde10054         3.65                 3.40                
Vardas10055          Pavarde10055         1.40                 1.00                
Vardas10059          Pavarde10059         4.25                 4.00                
Vardas1006           Pavarde1006          4.85                 5.90                
Vardas10060          Pavarde10060         3.40                 4.40                
Vardas10063          Pavarde10063         3.85                 4.80                
Vardas10066          Pavarde10066         4.55                 5.20                
Vardas10069          Pavarde10069         4.45                 6.00                
Vardas10074          Pavarde10074         2.00                 2.20                
Vardas10077          Pavarde10077         4.50                 5.20                
Vardas10078          Pavarde10078         3.30                 4.40                
Vardas1008           Pavarde1008          3.15                 3.80                
Vardas10081          Pavarde10081         4.40                 4.90                
Vardas10082          Pavarde10082         4.25                 4.90                
Vardas10083          Pavarde10083         2.40                 2.80                
Vardas10084          Pavarde10084         4.40                 4.70                
Vardas10086          Pavarde10086         2.40                 3.20                
Vardas10090          Pavarde10090         3.35                 4.40                
Vardas10091          Pavarde10091         3.20                 4.40                
Vardas10092          Pavarde10092         2.00                 2.80                
Vardas10096          Pavarde10096         4.40                 4.90                
Vardas10098          Pavarde10098         3.90                 4.80                
Vardas1010           Pavarde1010          3.45                 4.70                
Vardas10102          Pavarde10102         2.05                 2.50                
Vardas10104          Pavarde10104         2.65                 3.10                
Vardas10106          Pavarde10106         3.30                 4.70                
Vardas10107          Pavarde10107         3.55                 4.20                
Vardas10109          Pavarde10109         3.35                 3.60                
Vardas1011           Pavarde1011          2.65                 3.70                
Vardas10110          Pavarde10110         3.40                 4.20                
Vardas10112          Pavarde10112         4.75                 4.70                
Vardas10113          Pavarde10113         4.70                 5.00                
Vardas10114          Pavarde10114         3.40                 4.50                
Vardas10115          Pavarde10115         2.00                 2.50                
Vardas10118          Pavarde10118         2.50                 3.10                
Vardas10119          Pavarde10119         3.75                 4.80                
Vardas1012           Pavarde1012          4.40                 4.60                
Vardas10121          Pavarde10121         2.65                 3.50                
Vardas10124          Pavarde10124         3.15                 4.40                
Vardas10126          Pavarde10126         4.15                 4.60                
Vardas10129          Pavarde10129         4.40                 5.20                
Vardas1013           Pavarde1013          4.00                 5.40                
Vardas10130          Pavarde10130         4.45                 5.20                
Vardas10131          Pavarde10131         4.25                 4.30                
Vardas10132          Pavarde10132         4.10                 5.10                
Vardas10134          Pavarde10134         4.80                 5.80                
Vardas10135          Pavarde10135         3.25                 4.10                
Vardas10138          Pavarde10138         3.65                 4.50                
Vardas10139          Pavarde10139         1.95                 2.80                
Vardas10140          Pavarde10140         4.00                 4.50                
Vardas10141          Pavarde10141         2.55                 2.90                
Vardas10142          Pavarde10142         2.95                 4.60                
Vardas10144          Pavarde10144         4.70                 5.80                
Vardas10147          Pavarde10147         2.60                 3.50                
Vardas10148          Pavarde10148         4.35                 5.20                
Vardas1015           Pavarde1015          3.15                 4.40                
Vardas10150          Pavarde10150         2.45                 3.70                
Vardas10153          Pavarde10153         2.30                 2.80                
Vardas10155          Pavarde10155         2.90                 3.20                
Vardas10158          Pavarde10158         4.25                 5.70                
Vardas1016           Pavarde1016          2.75                 4.30                
Vardas10160          Pavarde10160         3.85                 5.10                
Vardas10161          Pavarde10161         3.35                 4.70                
Vardas10163          Pavarde10163         4.50                 5.20                
Vardas10164          Pavarde10164         4.90                 5.30                
Vardas10165          Pavarde10165         2.85                 4.10                
Vardas10166          Pavarde10166         2.95                 4.10                
Vardas10173          Pavarde10173         4.35                 5.20                
Vardas10174          Pavarde10174         2.55                 2.90                
Vardas10180          Pavarde10180         2.30                 2.80                
Vardas10185          Pavarde10185         4.05                 5.40                
Vardas1019           Pavarde1019          3.10                 4.40                
Vardas10190          Pavarde10190         2.90                 3.80                
Vardas10192          Pavarde10192         2.40                 2.60                
Vardas10193          Pavarde10193         4.10                 5.40                
Vardas10194          Pavarde10194         4.45                 5.20                
Vardas10195          Pavarde10195         4.90                 5.60                
Vardas10197          Pavarde10197         3.60                 4.20                
Vardas10199          Pavarde10199         4.20                 4.60                
Vardas1020           Pavarde1020          2.75                 3.20                
Vardas10200          Pavarde10200         3.20                 4.20                
Vardas10201          Pavarde10201         3.25                 4.10                
Vardas10203          Pavarde10203         2.40                 3.70                
Vardas10205          Pavarde10205         2.10                 2.30                
Vardas10207          Pavarde10207         3.45                 4.20                
Vardas10208          Pavarde10208         2.95                 4.60                
Vardas10211          Pavarde10211         1.85                 2.50                
Vardas10217          Pavarde10217         2.95                 3.80                
Vardas10218          Pavarde10218         4.70                 5.00                
Vardas10220          Pavarde10220         2.35                 3.70                
Vardas10224          Pavarde10224         3.80                 3.70                
Vardas10226          Pavarde10226         2.05                 2.20                
Vardas10229          Pavarde10229         4.95                 6.10                
Vardas1023           Pavarde1023          4.45                 5.20                
Vardas10230          Pavarde10230         3.45                 4.40                
Vardas10232          Pavarde10232         4.20                 5.50                
Vardas10233          Pavarde10233         2.25                 3.40                
Vardas10239          Pavarde10239         2.75                 3.20                
Vardas1024           Pavarde1024          3.40                 4.40                
Vardas10240          Pavarde10240         3.90                 4.80                
Vardas10241          Pavarde10241         4.00                 4.60                
Vardas10242          Pavarde10242         4.10                 5.40                
Vardas10248          Pavarde10248         4.45                 4.10                
Vardas10250          Pavarde10250         4.70                 5.80                
Vardas10251          Pavarde10251         2.95                 4.30                
Vardas10252          Pavarde10252         2.75                 3.70                
Vardas10254          Pavarde10254         3.10                 3.80                
Vardas10257          Pavarde10257         3.70                 5.30                
Vardas10258          Pavarde10258         4.90                 5.60                
Vardas1026           Pavarde1026          3.45                 4.20                
Vardas10260          Pavarde10260         2.40                 2.60                
